## [iView]
## Converted from:	C:\Users\DBIS\Desktop\0K9R6S1K16_0.idf
## Date:	07.07.2016 13:13:14
## Version:	IDF Converter 3.0.20
## IDF Version:	8
## Sample Rate:	240
## Number of Samples:	37                                                                                                                                                                                                                                                              
## Reversed:	none
## [Run]
## Subject:	0K9R6S1K16_0                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	400	300
## Head Distance [mm]:	600
## Format:	RIGHT, RAW, DIAMETER, CR, POR, QUALITY, TRIGGER, MSG
## 
Time	Type	Trial	R Raw X [px]	R Raw Y [px]	R Dia X [px]	R Dia Y [px]	R CR1 X [px]	R CR1 Y [px]	R POR X [px]	R POR Y [px]	Timing	Trigger
17244575243	SMP	1	159.67	60.31	57.00	55.00	163.67	75.31	1039.68	590.08	0	0
17244579437	SMP	1	159.61	60.38	57.00	56.00	163.59	75.37	1039.98	590.01	0	0
17244583632	SMP	1	159.57	60.47	58.00	56.00	163.53	75.41	1040.44	590.50	0	0
17244587833	SMP	1	159.49	60.65	58.00	56.00	163.51	75.49	1040.17	592.54	0	0
17244592033	SMP	1	159.43	60.72	58.00	56.00	163.50	75.53	1039.23	594.40	0	0
17244596248	SMP	1	159.24	60.80	58.00	56.00	163.48	75.53	1035.57	596.67	0	0
17244600442	SMP	1	159.19	60.83	58.00	56.00	163.46	75.54	1032.94	598.20	0	0
17244604638	SMP	1	159.12	60.85	58.00	56.00	163.42	75.58	1031.18	598.78	0	0
17244608849	SMP	1	159.07	60.92	58.00	56.00	163.36	75.62	1030.34	599.43	0	0
17244613060	SMP	1	159.04	60.95	58.00	56.00	163.31	75.63	1030.32	599.99	0	0
17244617251	SMP	1	158.98	60.94	58.00	56.00	163.27	75.63	1030.28	600.23	0	0
17244621446	SMP	1	158.94	60.97	58.00	56.00	163.23	75.63	1030.28	600.71	0	0
17244625652	SMP	1	158.90	60.97	58.00	56.00	163.21	75.63	1029.97	601.05	0	0
17244629856	SMP	1	158.89	61.00	58.00	56.00	163.17	75.65	1029.97	601.39	0	0
17244634055	SMP	1	158.85	61.03	58.00	56.00	163.15	75.67	1029.91	601.82	0	0
17244638262	SMP	1	158.83	61.06	58.00	56.00	163.14	75.68	1029.77	602.22	0	0
17244642460	SMP	1	158.84	61.07	58.00	56.00	163.14	75.68	1029.72	602.62	0	0
17244646662	SMP	1	158.82	61.08	58.00	56.00	163.14	75.69	1029.48	602.87	0	0
17244650864	SMP	1	158.85	61.10	58.00	56.00	163.15	75.71	1029.51	602.97	0	0
17244655065	SMP	1	158.84	61.12	58.00	56.00	163.17	75.72	1029.28	603.22	0	0
17244659288	SMP	1	158.87	61.15	58.00	56.00	163.21	75.71	1028.97	603.76	0	0
17244663492	SMP	1	158.89	61.18	58.00	56.00	163.25	75.70	1028.48	604.80	0	0
17244667688	SMP	1	158.94	61.19	58.00	56.00	163.30	75.70	1028.08	605.74	0	0
17244671890	SMP	1	158.99	61.20	58.00	56.00	163.36	75.69	1027.73	606.57	0	0
17244676092	SMP	1	159.04	61.19	58.00	56.00	163.43	75.67	1027.23	607.13	0	0
17244680294	SMP	1	159.21	61.20	59.00	56.00	163.48	75.66	1028.53	607.64	0	0
17244684497	SMP	1	159.30	61.23	59.00	56.00	163.52	75.66	1030.38	608.35	0	0
17244688694	SMP	1	159.34	61.25	59.00	56.00	163.57	75.67	1031.50	609.06	0	0
17244692901	SMP	1	159.40	61.27	59.00	57.00	163.65	75.67	1031.93	609.72	0	0
17244697099	SMP	1	159.46	61.29	59.00	57.00	163.72	75.70	1031.74	609.94	0	0
17244701302	SMP	1	159.51	61.34	59.00	57.00	163.81	75.74	1031.02	610.20	0	0
17244705520	SMP	1	159.58	61.38	59.00	57.00	163.86	75.74	1030.63	610.81	0	0
17244709710	SMP	1	159.61	61.40	59.00	57.00	163.93	75.76	1029.92	611.35	0	0
17244713900	SMP	1	159.63	61.42	59.00	57.00	164.01	75.76	1028.75	612.03	0	0
17244718100	SMP	1	159.66	61.44	59.00	57.00	164.05	75.77	1027.82	612.50	0	0
17244722304	SMP	1	159.69	61.48	59.00	57.00	164.07	75.78	1027.28	612.99	0	0
17244726503	SMP	1	159.68	61.51	59.00	57.00	164.08	75.79	1026.84	613.77	0	0
